City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,56.62,56,69,24.47,RU,1691690522
1,invercargill,-46.4,168.35,33.03,92,100,3.0,NZ,1691690523
2,puerto penasco,31.3167,-113.5333,87.91,66,25,20.0,MX,1691690452
3,port-aux-francais,-49.35,70.2167,41.0,93,100,33.02,TF,1691690532
4,puerto natales,-51.7236,-72.4875,38.97,92,100,6.89,CL,1691690538
5,masina,-4.3836,15.3914,84.54,50,96,5.26,CD,1691690539
6,hawaiian paradise park,19.5933,-154.9731,73.04,99,100,5.75,US,1691690539
7,santana,-0.0583,-51.1817,89.78,66,40,13.8,BR,1691690540
8,qaqortoq,60.7167,-46.0333,46.74,73,12,4.27,GL,1691690541
9,hermanus,-34.4187,19.2345,60.49,63,0,1.28,ZA,1691690542
10,yellowknife,62.456,-114.3525,66.72,55,75,8.05,CA,1691690489
11,kidal,18.4411,1.4078,98.31,28,33,11.25,ML,1691690543
12,port mathurin,-19.6833,63.4167,73.22,77,3,17.45,MU,1691690490
13,kodiak,57.79,-152.4072,52.32,91,100,5.06,US,1691690544
14,ushuaia,-54.8,-68.3,37.06,93,75,12.66,AR,1691690509
15,hadibu,12.65,54.0333,78.26,79,24,14.94,YE,1691690545
16,fort bragg,35.139,-79.006,84.34,83,20,9.22,US,1691690546
17,ad dawadimi,24.5077,44.3924,97.95,9,24,10.27,SA,1691690546
18,edinburgh of the seven seas,-37.0676,-12.3116,53.35,61,21,23.47,SH,1691690547
19,port elizabeth,-33.918,25.5701,64.69,88,0,1.14,ZA,1691690420
20,west island,-12.1568,96.8225,76.98,88,40,13.8,CC,1691690548
21,egilsstadir,65.2653,-14.3948,51.71,71,75,14.97,IS,1691690515
22,gwadar,25.1216,62.3254,80.78,82,91,10.38,PK,1691690549
23,cantley,53.5,-1.05,83.1,56,52,8.46,GB,1691690549
24,blackmans bay,-43.0167,147.3167,47.52,83,98,5.91,AU,1691690550
25,waitangi,-43.9535,-176.5597,47.82,84,95,13.58,NZ,1691690550
26,oyama,36.3,139.8,85.59,90,0,3.76,JP,1691690551
27,susuman,62.7833,148.1667,44.69,74,2,1.88,RU,1691690551
28,mungwi,-10.1732,31.3694,62.8,40,9,6.93,ZM,1691690551
29,holualoa,19.6228,-155.9522,77.77,68,40,3.33,US,1691690552
30,nova sintra,14.8667,-24.7167,73.4,74,22,16.69,CV,1691690552
31,kill devil hills,36.0307,-75.676,84.22,65,75,18.41,US,1691690553
32,verkhovazh'ye,60.7472,42.0465,67.75,75,9,3.49,RU,1691690553
33,kegen,43.0197,79.2203,59.95,48,100,5.21,KZ,1691690554
34,howrah,22.5892,88.3103,84.2,89,75,5.75,IN,1691690554
35,villa gesell,-37.2639,-56.973,63.05,77,100,13.11,AR,1691690555
36,tamanrasset,22.785,5.5228,93.11,10,0,5.75,DZ,1691690556
37,papatowai,-46.5619,169.4708,36.18,86,100,5.61,NZ,1691690556
38,saldanha,-33.0117,17.9442,62.65,71,0,7.74,ZA,1691690366
39,bethel,41.3712,-73.414,77.02,81,100,5.75,US,1691690335
40,polyarnyy,69.1989,33.4478,68.72,63,0,9.91,RU,1691690557
41,bilibino,68.0546,166.4372,47.64,83,99,4.47,RU,1691690557
42,mhamid,29.82,-5.72,110.39,7,34,21.0,MA,1691690558
43,lebu,-37.6167,-73.65,51.46,85,20,14.97,CL,1691690558
44,new norfolk,-42.7826,147.0587,48.7,94,100,2.68,AU,1691690559
45,albany,42.6001,-73.9662,77.65,94,100,3.24,US,1691690457
46,st. john's,47.5649,-52.7093,68.68,95,100,12.66,CA,1691690444
47,dhidhdhoo,6.8833,73.1,83.07,76,96,17.92,MV,1691690560
48,olonkinbyen,70.9221,-8.7187,44.76,96,45,12.46,SJ,1691690560
49,thompson,55.7435,-97.8558,66.36,48,75,3.44,CA,1691690560
50,unai,-16.3575,-46.9061,88.74,25,0,5.77,BR,1691690561
51,bredasdorp,-34.5322,20.0403,56.34,73,0,0.47,ZA,1691690561
52,lata,40.1629,-8.3327,81.91,45,17,7.76,PT,1691690546
53,iqaluit,63.7506,-68.5145,44.33,87,40,6.91,CA,1691690562
54,ust-kamenogorsk,49.9789,82.6103,66.13,93,100,4.47,KZ,1691690496
55,adamstown,-25.066,-130.1015,64.04,66,41,23.85,PN,1691690449
56,klyuchi,52.2667,79.1667,64.53,86,97,6.82,RU,1691690563
57,ancud,-41.8697,-73.8203,48.07,72,100,26.75,CL,1691690445
58,ust-nera,64.5667,143.2,55.15,69,8,2.08,RU,1691690563
59,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,100,40,8.95,RU,1691690563
60,eyl,7.9803,49.8164,77.02,80,33,24.52,SO,1691690564
61,margaret river,-33.95,115.0667,55.4,72,63,5.55,AU,1691690498
62,kitee,62.1,30.15,61.57,77,24,6.35,FI,1691690564
63,mossel bay,-34.1831,22.146,73.33,66,0,0.83,ZA,1691690565
64,massawa,15.6097,39.45,99.73,37,28,3.49,ER,1691690565
65,vila franca do campo,37.7167,-25.4333,73.81,83,96,2.48,PT,1691690566
66,colonia,50.9333,6.95,75.96,47,0,2.3,DE,1691690549
67,grytviken,-54.2811,-36.5092,26.53,96,94,7.74,GS,1691690497
68,la'ie,21.6477,-157.9253,82.36,70,25,17.25,US,1691690567
69,gwadabawa,13.3561,5.2366,87.39,53,84,5.7,NG,1691690567
70,luderitz,-26.6481,15.1594,69.46,51,7,7.02,NA,1691690568
71,kaduna,10.5222,7.4383,71.24,95,100,3.51,NG,1691690568
72,sitka,57.0531,-135.33,57.09,94,100,0.0,US,1691690341
73,punta arenas,-53.15,-70.9167,39.94,73,99,13.24,CL,1691690569
74,aykhal,66.0,111.5,58.75,85,98,4.59,RU,1691690569
75,baymak,52.5933,58.3225,67.06,60,71,11.25,RU,1691690570
76,stanley,54.868,-1.6985,74.79,69,20,5.75,GB,1691690570
77,weno,7.4515,151.8468,80.51,77,93,5.73,FM,1691690570
78,solwezi,-12.1688,26.3894,61.27,36,10,4.03,ZM,1691690512
79,puerto ayora,-0.7393,-90.3518,82.36,96,81,3.0,EC,1691690571
80,uturoa,-16.7333,-151.4333,77.0,65,91,17.38,PF,1691690571
81,nagqu,31.5,92.0,44.04,88,100,1.39,CN,1691690572
